Pp(a)= 0.08 (9950 / 130135)
Pp(b)= 0.01 (1830 / 130135)
Pp(c)= 0.02 (2606 / 130135)
Pp(d)= 0.04 (5025 / 130135)
Pp(e)= 0.11 (14960 / 130135)
Pp(f)= 0.02 (2698 / 130135)
Pp(g)= 0.02 (2420 / 130135)
Pp(h)= 0.07 (8731 / 130135)
Pp(i)= 0.07 (8511 / 130135)
Pp(j)= 0.00 (110 / 130135)
Pp(k)= 0.01 (1272 / 130135)
Pp(l)= 0.04 (5847 / 130135)
Pp(m)= 0.03 (4253 / 130135)
Pp(n)= 0.06 (8297 / 130135)
Pp(o)= 0.09 (11218 / 130135)
Pp(p)= 0.02 (2016 / 130135)
Pp(q)= 0.00 (220 / 130135)
Pp(r)= 0.06 (7777 / 130135)
Pp(s)= 0.06 (8379 / 130135)
Pp(t)= 0.09 (11863 / 130135)
Pp(u)= 0.03 (4343 / 130135)
Pp(v)= 0.01 (1222 / 130135)
Pp(w)= 0.02 (3132 / 130135)
Pp(x)= 0.00 (179 / 130135)
Pp(y)= 0.02 (3204 / 130135)
Pp(z)= 0.00 (72 / 130135)
Pp(a|a)=0.08  Pp(a|b)=0.08  Pp(a|c)=0.08  Pp(a|d)=0.08  Pp(a|e)=0.07  Pp(a|f)=0.07  Pp(a|g)=0.08  Pp(a|h)=0.08  Pp(a|i)=0.07  Pp(a|j)=0.07  Pp(a|k)=0.08  Pp(a|l)=0.07  Pp(a|m)=0.07  Pp(a|n)=0.08  Pp(a|o)=0.07  Pp(a|p)=0.08  Pp(a|q)=0.08  Pp(a|r)=0.08  Pp(a|s)=0.08  Pp(a|t)=0.07  Pp(a|u)=0.08  Pp(a|v)=0.07  Pp(a|w)=0.07  Pp(a|x)=0.08  Pp(a|y)=0.09  Pp(a|z)=0.08  
Pp(b|a)=0.01  Pp(b|b)=0.02  Pp(b|c)=0.02  Pp(b|d)=0.01  Pp(b|e)=0.01  Pp(b|f)=0.01  Pp(b|g)=0.01  Pp(b|h)=0.02  Pp(b|i)=0.02  Pp(b|j)=0.01  Pp(b|k)=0.01  Pp(b|l)=0.01  Pp(b|m)=0.01  Pp(b|n)=0.02  Pp(b|o)=0.01  Pp(b|p)=0.02  Pp(b|q)=0.01  Pp(b|r)=0.01  Pp(b|s)=0.01  Pp(b|t)=0.01  Pp(b|u)=0.01  Pp(b|v)=0.02  Pp(b|w)=0.01  Pp(b|x)=0.01  Pp(b|y)=0.01  Pp(b|z)=0.02  
Pp(c|a)=0.02  Pp(c|b)=0.02  Pp(c|c)=0.02  Pp(c|d)=0.02  Pp(c|e)=0.02  Pp(c|f)=0.02  Pp(c|g)=0.01  Pp(c|h)=0.02  Pp(c|i)=0.02  Pp(c|j)=0.02  Pp(c|k)=0.02  Pp(c|l)=0.02  Pp(c|m)=0.02  Pp(c|n)=0.02  Pp(c|o)=0.02  Pp(c|p)=0.02  Pp(c|q)=0.02  Pp(c|r)=0.01  Pp(c|s)=0.02  Pp(c|t)=0.02  Pp(c|u)=0.02  Pp(c|v)=0.02  Pp(c|w)=0.02  Pp(c|x)=0.02  Pp(c|y)=0.02  Pp(c|z)=0.02  
Pp(d|a)=0.04  Pp(d|b)=0.04  Pp(d|c)=0.04  Pp(d|d)=0.04  Pp(d|e)=0.04  Pp(d|f)=0.04  Pp(d|g)=0.04  Pp(d|h)=0.04  Pp(d|i)=0.04  Pp(d|j)=0.04  Pp(d|k)=0.04  Pp(d|l)=0.04  Pp(d|m)=0.04  Pp(d|n)=0.03  Pp(d|o)=0.04  Pp(d|p)=0.04  Pp(d|q)=0.04  Pp(d|r)=0.04  Pp(d|s)=0.04  Pp(d|t)=0.04  Pp(d|u)=0.04  Pp(d|v)=0.04  Pp(d|w)=0.04  Pp(d|x)=0.04  Pp(d|y)=0.04  Pp(d|z)=0.04  
Pp(e|a)=0.11  Pp(e|b)=0.12  Pp(e|c)=0.11  Pp(e|d)=0.12  Pp(e|e)=0.10  Pp(e|f)=0.12  Pp(e|g)=0.12  Pp(e|h)=0.11  Pp(e|i)=0.12  Pp(e|j)=0.11  Pp(e|k)=0.12  Pp(e|l)=0.11  Pp(e|m)=0.11  Pp(e|n)=0.12  Pp(e|o)=0.11  Pp(e|p)=0.11  Pp(e|q)=0.11  Pp(e|r)=0.12  Pp(e|s)=0.11  Pp(e|t)=0.11  Pp(e|u)=0.12  Pp(e|v)=0.11  Pp(e|w)=0.12  Pp(e|x)=0.11  Pp(e|y)=0.11  Pp(e|z)=0.11  
Pp(f|a)=0.02  Pp(f|b)=0.02  Pp(f|c)=0.02  Pp(f|d)=0.02  Pp(f|e)=0.02  Pp(f|f)=0.03  Pp(f|g)=0.02  Pp(f|h)=0.02  Pp(f|i)=0.02  Pp(f|j)=0.02  Pp(f|k)=0.02  Pp(f|l)=0.02  Pp(f|m)=0.02  Pp(f|n)=0.02  Pp(f|o)=0.02  Pp(f|p)=0.02  Pp(f|q)=0.02  Pp(f|r)=0.02  Pp(f|s)=0.02  Pp(f|t)=0.02  Pp(f|u)=0.02  Pp(f|v)=0.02  Pp(f|w)=0.02  Pp(f|x)=0.02  Pp(f|y)=0.02  Pp(f|z)=0.02  
Pp(g|a)=0.02  Pp(g|b)=0.02  Pp(g|c)=0.02  Pp(g|d)=0.02  Pp(g|e)=0.02  Pp(g|f)=0.02  Pp(g|g)=0.02  Pp(g|h)=0.02  Pp(g|i)=0.02  Pp(g|j)=0.02  Pp(g|k)=0.02  Pp(g|l)=0.02  Pp(g|m)=0.02  Pp(g|n)=0.02  Pp(g|o)=0.02  Pp(g|p)=0.02  Pp(g|q)=0.02  Pp(g|r)=0.02  Pp(g|s)=0.02  Pp(g|t)=0.02  Pp(g|u)=0.02  Pp(g|v)=0.02  Pp(g|w)=0.02  Pp(g|x)=0.02  Pp(g|y)=0.02  Pp(g|z)=0.02  
Pp(h|a)=0.07  Pp(h|b)=0.06  Pp(h|c)=0.06  Pp(h|d)=0.06  Pp(h|e)=0.06  Pp(h|f)=0.07  Pp(h|g)=0.07  Pp(h|h)=0.08  Pp(h|i)=0.07  Pp(h|j)=0.07  Pp(h|k)=0.07  Pp(h|l)=0.06  Pp(h|m)=0.07  Pp(h|n)=0.06  Pp(h|o)=0.07  Pp(h|p)=0.06  Pp(h|q)=0.07  Pp(h|r)=0.08  Pp(h|s)=0.07  Pp(h|t)=0.07  Pp(h|u)=0.06  Pp(h|v)=0.07  Pp(h|w)=0.07  Pp(h|x)=0.06  Pp(h|y)=0.06  Pp(h|z)=0.07  
Pp(i|a)=0.07  Pp(i|b)=0.06  Pp(i|c)=0.07  Pp(i|d)=0.07  Pp(i|e)=0.07  Pp(i|f)=0.06  Pp(i|g)=0.07  Pp(i|h)=0.06  Pp(i|i)=0.07  Pp(i|j)=0.06  Pp(i|k)=0.07  Pp(i|l)=0.07  Pp(i|m)=0.06  Pp(i|n)=0.07  Pp(i|o)=0.07  Pp(i|p)=0.06  Pp(i|q)=0.06  Pp(i|r)=0.06  Pp(i|s)=0.07  Pp(i|t)=0.06  Pp(i|u)=0.06  Pp(i|v)=0.06  Pp(i|w)=0.06  Pp(i|x)=0.07  Pp(i|y)=0.07  Pp(i|z)=0.06  
Pp(j|a)=0.00  Pp(j|b)=0.00  Pp(j|c)=0.00  Pp(j|d)=0.00  Pp(j|e)=0.00  Pp(j|f)=0.00  Pp(j|g)=0.00  Pp(j|h)=0.00  Pp(j|i)=0.00  Pp(j|j)=0.00  Pp(j|k)=0.00  Pp(j|l)=0.00  Pp(j|m)=0.00  Pp(j|n)=0.00  Pp(j|o)=0.00  Pp(j|p)=0.00  Pp(j|q)=0.00  Pp(j|r)=0.00  Pp(j|s)=0.00  Pp(j|t)=0.00  Pp(j|u)=0.00  Pp(j|v)=0.00  Pp(j|w)=0.00  Pp(j|x)=0.00  Pp(j|y)=0.00  Pp(j|z)=0.00  
Pp(k|a)=0.01  Pp(k|b)=0.01  Pp(k|c)=0.01  Pp(k|d)=0.01  Pp(k|e)=0.01  Pp(k|f)=0.01  Pp(k|g)=0.01  Pp(k|h)=0.01  Pp(k|i)=0.01  Pp(k|j)=0.01  Pp(k|k)=0.01  Pp(k|l)=0.01  Pp(k|m)=0.01  Pp(k|n)=0.01  Pp(k|o)=0.01  Pp(k|p)=0.01  Pp(k|q)=0.01  Pp(k|r)=0.01  Pp(k|s)=0.01  Pp(k|t)=0.01  Pp(k|u)=0.01  Pp(k|v)=0.01  Pp(k|w)=0.01  Pp(k|x)=0.01  Pp(k|y)=0.01  Pp(k|z)=0.01  
